Date,MSFT,NVDA,GOOGL,AMZN,META,TSM,ASML,ADBE,IBM,ANET
2018-03-16,88.0595474243164,6.198163986206055,56.51612091064453,78.58399963378906,184.38565063476562,37.607749938964844,199.61221313476562,225.5500030517578,111.93787384033203,18.357500076293945
2018-03-19,86.4677734375,5.9635796546936035,54.804832458496094,77.24649810791016,171.90333557128906,37.29832458496094,198.3906707763672,222.17999267578125,109.90531158447266,17.336875915527344
2018-03-20,86.691162109375,6.175893306732178,54.592098236083984,79.32550048828125,167.51011657714844,37.49066925048828,198.25074768066406,229.75,109.10205841064453,17.8387508392334
2018-03-21,86.08612823486328,6.150654315948486,54.50242614746094,79.09300231933594,168.7454071044922,37.381954193115234,199.3045196533203,226.85000610351562,109.4443588256836,17.668750762939453
2018-03-22,83.58209991455078,5.984614849090576,52.46730422973633,77.24600219726562,164.26254272460938,36.53730773925781,190.90261840820312,220.52000427246094,106.2313461303711,17.108749389648438
2018-03-23,81.15254974365234,5.7648773193359375,51.14210510253906,74.77799987792969,158.78346252441406,35.609039306640625,185.6712646484375,215.02000427246094,103.99620819091797,16.513124465942383
2018-03-26,87.29623413085938,6.049692630767822,52.514129638671875,77.79299926757812,159.45089721679688,37.02235412597656,193.44839477539062,228.91000366210938,107.1253890991211,16.936250686645508
2018-03-27,83.2842025756836,5.580524921417236,50.16514587402344,74.85250091552734,151.6407470703125,36.20278549194336,186.77159118652344,213.8000030517578,106.10559844970703,15.856249809265137
2018-03-28,83.20974731445312,5.47733736038208,50.07746505737305,71.57099914550781,152.44764709472656,35.70102310180664,181.40040588378906,212.5399932861328,106.53168487548828,15.321249961853027
2018-03-29,84.95978546142578,5.730728626251221,51.6696891784668,72.36699676513672,159.1819305419922,36.5958366394043,185.1583709716797,216.0800018310547,107.16728973388672,15.956250190734863
2018-04-02,82.39993286132812,5.469914436340332,50.44861602783203,68.59950256347656,154.7986602783203,35.542118072509766,180.02029418945312,212.27999877929688,104.82038879394531,15.844374656677246
2018-04-03,83.50763702392578,5.576318740844727,50.75002670288086,69.60250091552734,155.5159454345703,36.3616943359375,185.96966552734375,215.92999267578125,104.66674041748047,15.844374656677246
2018-04-04,85.94647979736328,5.59834098815918,51.299537658691406,70.52850341796875,154.50979614257812,36.74638366699219,184.87864685058594,225.0500030517578,107.64924621582031,16.184999465942383
